,GO_id,Original_freq,Human_freq,Odds_ratio,p-value,GO_description
0,0030552,1,23,9.409805735430158,0.10573085053158303,cAMP binding
1,0099642,1,2,108.32446808510639,0.013864366320690531,retrograde axonal protein transport
2,0031581,1,12,18.045212765957448,0.058719515201865975,hemidesmosome assembly
3,0050896,1,67,3.2232454747538903,0.2716421097770612,response to stimulus
4,0022617,1,65,3.322749590834697,0.26480918419167027,extracellular matrix disassembly
5,0048306,1,64,3.374833776595745,0.26136897498753076,calcium-dependent protein binding
6,0051660,3,9,73.76086956521739,2.0691016617200677e-05,establishment of centrosome localization
7,1904106,1,2,108.32446808510639,0.013864366320690531,protein localization to microvillus
8,0019900,3,96,6.885529891304348,0.011027605907637041,kinase binding
9,0031005,1,12,18.045212765957448,0.058719515201865975,filamin binding
10,0016529,1,44,4.913684719535784,0.18912093934501942,sarcoplasmic reticulum
11,0005768,1,265,0.806985146527499,1.0,endosome
12,0002020,1,105,2.052887537993921,0.3901551405775979,protease binding
13,0007520,1,19,11.393057110862262,0.08891092412315663,myoblast fusion
14,0051493,1,30,7.211702127659574,0.1344296041120853,regulation of cytoskeleton organization
15,0051393,2,15,29.178494623655915,0.0027719957921530877,alpha-actinin binding
16,0016607,5,401,2.766140205042948,0.040793716179685205,nuclear speck
17,0071356,1,127,1.6954263695761433,0.4498238011050077,cellular response to tumor necrosis factor
18,0048839,1,45,4.804255319148936,0.19289394767139761,inner ear development
19,0042609,1,8,27.07313829787234,0.04102500633860259,CD4 receptor binding
20,0090557,3,10,66.38152173913043,2.6807757342656103e-05,establishment of endothelial intestinal barrier
21,0060090,6,45,30.44494382022472,1.298903706810449e-07,molecular adaptor activity
22,0030595,1,24,9.017287234042554,0.10988759625578366,leukocyte chemotaxis
23,0032414,1,8,27.07313829787234,0.04102500633860259,positive regulation of ion transmembrane transporter activity
24,0045186,1,2,108.32446808510639,0.013864366320690531,zonula adherens assembly
25,0001772,1,34,6.362015018773467,0.15041773857633767,immunological synapse
26,0065003,9,114,18.592105263157894,5.800982243543205e-09,protein-containing complex assembly
27,0043198,2,37,11.816332461493753,0.014136178431455673,dendritic shaft
28,0007010,6,111,12.302459763133921,1.764047057449809e-05,cytoskeleton organization
29,0030251,1,1,216.6595744680851,0.009264175542698214,guanylate cyclase inhibitor activity
30,0005794,4,981,0.8686359512047586,1.0,Golgi apparatus
31,0035003,1,1,216.6595744680851,0.009264175542698214,subapical complex
32,0032281,2,26,16.82464846980976,0.007453281653860406,AMPA glutamate receptor complex
33,0031514,1,99,2.1779497098646035,0.37279911717400643,motile cilium
34,0006366,2,266,1.6251111650092975,0.3540753361498438,transcription by RNA polymerase II
35,0017016,1,14,15.46580547112462,0.06744523374334914,Ras GTPase binding
36,0008283,2,182,2.3850880302493205,0.2104579282516127,cell population proliferation
37,0033168,1,1,216.6595744680851,0.009264175542698214,conversion of ds siRNA to ss siRNA involved in RNA interference
38,0031307,1,20,10.822872340425532,0.09314502363368665,integral component of mitochondrial outer membrane
39,0001725,3,63,10.509316770186336,0.0035905045282965853,stress fiber
40,0030660,1,19,11.393057110862262,0.08891092412315663,Golgi-associated vesicle membrane
41,0003151,1,46,4.699583718778908,0.19664958417234352,outflow tract morphogenesis
42,0016328,3,59,11.224023581429623,0.003007399411223112,lateral plasma membrane
43,0003677,2,1402,0.2909054653106929,0.06633945414097316,DNA binding
44,0030278,1,11,19.686653771760156,0.05432641050704882,regulation of ossification
45,0030165,8,87,21.43479984145858,1.3962074871119484e-08,PDZ domain binding
46,0004530,1,5,43.32340425531915,0.027538507573091175,deoxyribonuclease I activity
47,0043025,4,364,2.415529525419635,0.09224003278543637,neuronal cell body
48,0006833,1,15,14.434042553191489,0.07177803086311635,water transport
49,0016525,1,86,2.5087827808015835,0.33350005161524543,negative regulation of angiogenesis
50,0014069,13,246,12.967132659131469,2.1991912289264113e-10,postsynaptic density
51,0035332,1,2,108.32446808510639,0.013864366320690531,positive regulation of hippo signaling
52,0007168,1,10,21.656382978723403,0.04991301932098323,receptor guanylyl cyclase signaling pathway
53,0005096,4,263,3.360046797309155,0.035873666435108906,GTPase activator activity
54,0030011,2,7,62.54992319508449,0.0007517306564277145,maintenance of cell polarity
55,0006954,1,369,0.5765438505448884,1.0,inflammatory response
56,0007268,6,239,5.6775892059611675,0.000990817938448004,chemical synaptic transmission
57,1904886,3,21,31.593167701863354,0.00018281491538536324,beta-catenin destruction complex disassembly
58,1905386,1,2,108.32446808510639,0.013864366320690531,positive regulation of protein localization to presynapse
59,0051612,1,3,72.2127659574468,0.01844342126994002,negative regulation of serotonin uptake
60,0019904,7,242,6.6150920360631105,0.0001615223183571044,protein domain specific binding
61,0060441,1,15,14.434042553191489,0.07177803086311635,epithelial tube branching involved in lung morphogenesis
62,0006955,1,412,0.5152602768023136,1.0,immune response
63,0050687,1,11,19.686653771760156,0.05432641050704882,negative regulation of defense response to virus
64,0034334,1,3,72.2127659574468,0.01844342126994002,adherens junction maintenance
65,0051835,1,4,54.15691489361702,0.023001436470118597,positive regulation of synapse structural plasticity
66,0030046,1,4,54.15691489361702,0.023001436470118597,parallel actin filament bundle assembly
67,0043565,1,459,0.4614100959532749,0.7270794658062126,sequence-specific DNA binding
68,1904696,1,1,216.6595744680851,0.009264175542698214,protein localization to cell-cell adherens junction
69,0007628,1,29,7.4607483492296405,0.13038627483116422,adult walking behavior
70,0048488,1,38,5.691209406494961,0.16611360453013985,synaptic vesicle endocytosis
71,0005654,17,3645,0.9998733776511555,1.0,nucleoplasm
72,0010754,1,6,36.101063829787236,0.03205472979573745,negative regulation of cGMP-mediated signaling
73,2001269,1,7,30.94224924012158,0.03655019792968907,positive regulation of cysteine-type endopeptidase activity involved in apoptotic signaling pathway
74,0007608,1,147,1.4633087277464176,0.4990350265501858,sensory perception of smell
75,0008022,11,199,13.271596075616175,3.762195331522999e-09,protein C-terminus binding
76,0010838,1,13,16.656301145662848,0.06309242566133695,positive regulation of keratinocyte proliferation
77,0007179,1,93,2.3191489361702127,0.3549544914278723,transforming growth factor beta receptor signaling pathway
78,0031122,2,43,10.164541135283821,0.0185502566504564,cytoplasmic microtubule organization
79,0005109,4,39,22.911242603550296,4.6833236214146927e-05,frizzled binding
80,0001517,1,7,30.94224924012158,0.03655019792968907,N-acetylglucosamine 6-O-sulfotransferase activity
81,0060322,1,13,16.656301145662848,0.06309242566133695,head development
82,0008285,4,398,2.205422717985532,0.11725930008458818,negative regulation of cell population proliferation
83,0001843,2,78,5.593879239040529,0.053363761402188854,neural tube closure
84,0060134,1,15,14.434042553191489,0.07177803086311635,prepulse inhibition
85,0032495,1,12,18.045212765957448,0.058719515201865975,response to muramyl dipeptide
86,0030866,1,28,7.72758358662614,0.12632425772501488,cortical actin cytoskeleton organization
87,0032053,1,4,54.15691489361702,0.023001436470118597,ciliary basal body organization
88,0042738,1,24,9.017287234042554,0.10988759625578366,exogenous drug catabolic process
89,0044257,1,16,13.53125,0.0760909080590751,cellular protein catabolic process
90,0003713,1,285,0.7496080627099664,1.0,transcription coactivator activity
91,0031579,1,5,43.32340425531915,0.027538507573091175,membrane raft organization
92,0009898,5,50,22.574444444444445,5.616032283823605e-06,cytoplasmic side of plasma membrane
93,0033130,1,13,16.656301145662848,0.06309242566133695,acetylcholine receptor binding
94,0042472,1,56,3.8584726443768997,0.23326773476874807,inner ear morphogenesis
95,0005925,5,394,2.8162718556119573,0.038320295903298884,focal adhesion
96,0003700,1,738,0.282952776336274,0.2670208110628308,DNA-binding transcription factor activity
97,0046931,1,11,19.686653771760156,0.05432641050704882,pore complex assembly
98,0042781,1,1,216.6595744680851,0.009264175542698214,3'-tRNA processing endoribonuclease activity
