,GO_id,Original_freq,Human_freq,Odds_ratio,p-value,GO_description
0,0031581,1,6,62.13383838383838,0.018714908646951245,hemidesmosome assembly
1,0050896,1,21,17.747113997113996,0.05765579909562202,response to stimulus
2,0007520,1,9,41.42003367003367,0.026628779720874435,myoblast fusion
3,0051493,3,16,70.96153846153847,1.79672165976813e-05,regulation of cytoskeleton organization
4,1903033,1,2,186.41666666666666,0.008063662225089469,positive regulation of microtubule plus-end binding
5,0016607,5,243,7.872460133744856,0.0005865579500482015,nuclear speck
6,0070498,2,82,9.148017129026252,0.02175994236812529,interleukin-1-mediated signaling pathway
7,0060090,6,28,82.99437570303712,4.3226162165746216e-10,molecular adaptor activity
8,0030595,1,17,21.924688057041,0.047424100771552,leukocyte chemotaxis
9,0001772,1,26,14.332750582750583,0.07029216091150367,immunological synapse
10,0045445,1,13,28.673076923076923,0.03708215393556898,myoblast differentiation
11,0065003,8,74,42.50118918918919,6.778970946012971e-11,protein-containing complex assembly
12,0043491,1,28,13.308441558441558,0.07529948729559519,protein kinase B signaling
13,0007010,6,65,35.724530587522715,4.242422936136764e-08,cytoskeleton organization
14,0005794,7,412,6.580906148867314,0.00015033448718344624,Golgi apparatus
15,0006366,1,163,2.2798382598996096,0.3581014458800971,transcription by RNA polymerase II
16,0017016,2,7,107.32606324972737,0.00025632944327834477,Ras GTPase binding
17,0033168,1,1,372.84090909090907,0.005382971101556653,conversion of ds siRNA to ss siRNA involved in RNA interference
18,0046039,1,10,37.277272727272724,0.02925263452870587,GTP metabolic process
19,0005815,1,48,7.76010101010101,0.12392373429378245,microtubule organizing center
20,0003151,1,26,14.332750582750583,0.07029216091150367,outflow tract morphogenesis
21,0016328,4,33,46.213765562602774,3.1077703819970905e-06,lateral plasma membrane
22,0003677,5,501,3.798262849301397,0.012244537164831669,DNA binding
23,0043025,5,208,9.203725961538462,0.00029347521921419586,neuronal cell body
24,0016525,1,57,6.533625730994152,0.14496838553084937,negative regulation of angiogenesis
25,0002576,1,83,4.484574662285506,0.2029870035534124,platelet degranulation
26,0014069,13,142,37.43908450704225,4.47621552942467e-16,postsynaptic density
27,0004972,1,4,93.20454545454545,0.013403551050886307,NMDA glutamate receptor activity
28,0005096,5,111,17.28075731981982,1.6635797791347076e-05,GTPase activator activity
29,0004711,1,4,93.20454545454545,0.013403551050886307,ribosomal protein S6 kinase activity
30,0006979,1,70,5.318831168831169,0.1744834139165163,response to oxidative stress
31,0050687,1,7,53.256493506493506,0.021359935542157225,negative regulation of defense response to virus
32,0061136,1,12,31.06313131313131,0.03447930302123037,regulation of proteasomal protein catabolic process
33,0008344,1,31,12.019794721407624,0.08276033252357533,adult locomotory behavior
34,0043565,1,155,2.397898338220919,0.3440463020534411,sequence-specific DNA binding
35,0042730,1,18,20.706228956228955,0.04999231537745499,fibrinolysis
36,0031532,1,29,12.84926854754441,0.07779310384423924,actin cytoskeleton reorganization
37,2001269,1,5,74.56212121212121,0.01606278677669752,positive regulation of cysteine-type endopeptidase activity involved in apoptotic signaling pathway
38,0000281,2,32,23.46564885496183,0.0038221043771293262,mitotic cytokinesis
39,1901185,1,6,62.13383838383838,0.018714908646951245,negative regulation of ERBB signaling pathway
40,0060322,1,3,124.27525252525253,0.010737182529247623,head development
41,0050689,1,3,124.27525252525253,0.010737182529247623,negative regulation of defense response to virus by host
42,0002756,1,19,19.61602870813397,0.0525536578110337,MyD88-independent toll-like receptor signaling pathway
43,0030866,1,17,21.924688057041,0.047424100771552,cortical actin cytoskeleton organization
44,0050786,1,10,37.277272727272724,0.02925263452870587,RAGE receptor binding
45,0005925,8,277,11.307205776173285,1.1776991874121384e-06,focal adhesion
46,0003700,3,263,4.295378765720971,0.03557723016725583,DNA-binding transcription factor activity
47,0046931,1,6,62.13383838383838,0.018714908646951245,pore complex assembly
48,0007159,2,25,30.04030534351145,0.002421031610058734,leukocyte cell-cell adhesion
49,0042781,1,1,372.84090909090907,0.005382971101556653,3'-tRNA processing endoribonuclease activity
50,0035371,2,11,68.29285218598196,0.0005514661543826227,microtubule plus-end
51,1990869,1,8,46.59848484848485,0.023997886307368772,cellular response to chemokine
52,0005634,36,2370,7.335925877593632,1.8325995106529746e-17,nucleus
53,0006809,1,10,37.277272727272724,0.02925263452870587,nitric oxide biosynthetic process
54,0031812,1,1,372.84090909090907,0.005382971101556653,P2Y1 nucleotide receptor binding
55,0060999,1,18,20.706228956228955,0.04999231537745499,positive regulation of dendritic spine development
56,0099641,1,6,62.13383838383838,0.018714908646951245,anterograde axonal protein transport
57,0030423,2,3,250.4478371501272,7.170844031222745e-05,targeting of mRNA for destruction involved in RNA interference
58,0031593,1,22,16.9400826446281,0.060196634319730394,polyubiquitin modification-dependent protein binding
59,0045216,1,16,23.295454545454547,0.04484899569747581,cell-cell junction organization
60,0044794,1,6,62.13383838383838,0.018714908646951245,positive regulation by host of viral process
61,0050771,2,11,68.29285218598196,0.0005514661543826227,negative regulation of axonogenesis
62,0032886,2,6,125.21628498727735,0.00019972036758544352,regulation of microtubule-based process
63,0031398,1,56,6.6504329004329,0.14265509183574426,positive regulation of protein ubiquitination
64,0033144,1,3,124.27525252525253,0.010737182529247623,negative regulation of intracellular steroid hormone receptor signaling pathway
65,0007015,3,51,22.24660633484163,0.0004292712192890811,actin filament organization
66,0031674,1,11,33.887741046831955,0.03186946941599283,I band
67,1903673,1,1,372.84090909090907,0.005382971101556653,mitotic cleavage furrow formation
68,0071896,3,5,227.1276923076923,1.0611639503405902e-06,protein localization to adherens junction
69,0044319,1,10,37.277272727272724,0.02925263452870587,"wound healing, spreading of cells"
70,0051225,1,20,18.634848484848487,0.055108146315367035,spindle assembly
71,0016540,1,12,31.06313131313131,0.03447930302123037,protein autoprocessing
72,0006878,1,11,33.887741046831955,0.03186946941599283,cellular copper ion homeostasis
73,1904924,1,1,372.84090909090907,0.005382971101556653,negative regulation of mitophagy in response to mitochondrial depolarization
74,0034260,1,18,20.706228956228955,0.04999231537745499,negative regulation of GTPase activity
75,0010633,1,9,41.42003367003367,0.026628779720874435,negative regulation of epithelial cell migration
76,1903223,1,4,93.20454545454545,0.013403551050886307,positive regulation of oxidative stress-induced neuron death
77,0035025,1,14,26.624458874458874,0.039678040699299415,positive regulation of Rho protein signal transduction
78,0001650,2,68,11.034575662325999,0.015447171843027081,fibrillar center
79,0086053,1,1,372.84090909090907,0.005382971101556653,AV node cell to bundle of His cell communication by electrical coupling
80,0007601,3,68,16.67918552036199,0.000956673508057821,visual perception
81,0097421,1,25,14.906363636363636,0.06777841538542888,liver regeneration
82,0019233,2,35,21.45299890948746,0.004513587859131591,sensory perception of pain
83,0035280,2,7,107.32606324972737,0.00025632944327834477,miRNA loading onto RISC involved in gene silencing by miRNA
84,0031902,1,53,7.027301315037164,0.13567787581953497,late endosome membrane
85,0031904,1,12,31.06313131313131,0.03447930302123037,endosome lumen
86,0005903,3,30,37.83538461538461,9.840965131018673e-05,brush border
87,0006508,5,141,13.595689273049645,5.016078278923071e-05,proteolysis
88,0045880,1,13,28.673076923076923,0.03708215393556898,positive regulation of smoothened signaling pathway
89,0046930,1,6,62.13383838383838,0.018714908646951245,pore complex
90,0030036,9,88,40.51979472140763,6.666354897487291e-12,actin cytoskeleton organization
91,0060956,1,5,74.56212121212121,0.01606278677669752,endocardial cell differentiation
92,0043488,1,95,3.917145135566188,0.22843005784486137,regulation of mRNA stability
93,0010628,5,240,7.971354166666667,0.0005552037171593896,positive regulation of gene expression
94,0019903,4,64,23.813953488372093,3.5921085095907755e-05,protein phosphatase binding
95,0042734,2,30,25.031043256997457,0.003391174758691504,presynaptic membrane
96,0005737,51,2162,13.536213081834797,5.430228370495476e-34,cytoplasm
97,0017022,1,9,41.42003367003367,0.026628779720874435,myosin binding
98,0035749,3,4,283.9153846153846,6.645398875506031e-07,myelin sheath adaxonal region
99,0046777,2,139,5.390411335054094,0.05582382060960754,protein autophosphorylation
100,0045785,1,37,10.06941031941032,0.09750325375196296,positive regulation of cell adhesion
101,0005911,13,105,50.67007936507937,1.186633499621854e-17,cell-cell junction
