,GO_id,Original_freq,Human_freq,Odds_ratio,p-value,GO_description
0,0031581,9,12,18.74898921832884,3.7437939779541194e-08,hemidesmosome assembly
1,0050896,7,65,2.6772539288668322,0.021645811974178638,response to stimulus
2,0000784,1,86,0.2864341085271318,0.26559837396730557,"nuclear chromosome, telomeric region"
3,0060068,2,10,4.953538050734313,0.07701179263369333,vagina development
4,0002690,1,12,2.061,0.40297498248172575,positive regulation of leukocyte chemotaxis
5,0006515,2,14,3.5374785428189965,0.12661011968488678,protein quality control for misfolded or incompletely synthesized proteins
6,0016887,12,198,1.5059662935170377,0.20382307757687873,ATPase activity
7,1903033,2,2,24.77837116154873,0.008600071688958382,positive regulation of microtubule plus-end binding
8,0007442,3,4,18.606617647058822,0.0018229319535189557,hindgut morphogenesis
9,0016607,25,394,1.587780201647299,0.039283670928505085,nuclear speck
10,0008091,1,8,3.0921666666666665,0.30026387519370973,spectrin
11,0030621,1,6,4.123333333333333,0.24247021466861718,U4 snRNA binding
12,0061350,1,1,24.746666666666666,0.07626515566134118,planar cell polarity pathway involved in cardiac muscle tissue morphogenesis
13,0060090,8,45,4.430327501121579,0.0009479445013624093,molecular adaptor activity
14,0008312,1,7,3.534095238095238,0.27193951635502905,7S RNA binding
15,0001772,6,33,4.521781574130568,0.0036953643816988613,immunological synapse
16,0007171,2,7,7.0776273126072855,0.04534464555039706,activation of transmembrane receptor protein tyrosine kinase activity
17,0043097,1,11,2.2484848484848485,0.3788030169645886,pyrimidine nucleoside salvage
18,0098694,1,1,24.746666666666666,0.07626515566134118,regulation of synaptic vesicle budding from presynaptic endocytic zone membrane
19,0033613,4,35,2.834346911455345,0.0637744742186694,activating transcription factor binding
20,0006366,11,265,1.0262927078021418,0.875120989526481,transcription by RNA polymerase II
21,0017016,3,13,5.722336487042369,0.02246590278560716,Ras GTPase binding
22,0033168,1,1,24.746666666666666,0.07626515566134118,conversion of ds siRNA to ss siRNA involved in RNA interference
23,0003151,5,46,2.697721179624665,0.04738062243789475,outflow tract morphogenesis
24,0007195,1,9,2.7484444444444445,0.3274877175924458,adenylate cyclase-inhibiting dopamine receptor signaling pathway
25,0060444,4,13,7.639995880959736,0.0036009176702800653,branching involved in mammary gland duct morphogenesis
26,0002576,11,122,2.2466659282233055,0.0197989512647055,platelet degranulation
27,0055114,3,143,0.5165663213791556,0.38465877608556753,oxidation-reduction process
28,0004972,4,7,14.193153566647542,0.0006014847720416075,NMDA glutamate receptor activity
29,0010452,1,2,12.372666666666667,0.11219083499766533,histone H3-K36 methylation
30,0032966,3,11,6.763490520175012,0.015468277866190547,negative regulation of collagen biosynthetic process
31,0070182,2,16,3.0949599465954605,0.15358760674226213,DNA polymerase binding
32,0050687,1,11,2.2484848484848485,0.3788030169645886,negative regulation of defense response to virus
33,0003408,1,3,8.248,0.14672108943833265,optic cup formation involved in camera-type eye development
34,0060527,1,6,4.123333333333333,0.24247021466861718,prostate epithelial cord arborization involved in prostate glandular acinus morphogenesis
35,0070233,1,8,3.0921666666666665,0.30026387519370973,negative regulation of T cell apoptotic process
36,0051481,1,19,1.3011929824561403,0.5478220723643241,negative regulation of cytosolic calcium ion concentration
37,1990668,1,6,4.123333333333333,0.24247021466861718,vesicle fusion with endoplasmic reticulum-Golgi intermediate compartment (ERGIC) membrane
38,0048535,2,18,2.750778816199377,0.18153405201423364,lymph node development
39,1903241,1,3,8.248,0.14672108943833265,U2-type prespliceosome assembly
40,0031532,6,54,2.760178970917226,0.028658760352391427,actin cytoskeleton reorganization
41,0050775,1,21,1.177142857142857,0.5823425346225922,positive regulation of dendrite morphogenesis
42,0060045,4,26,3.817320564308516,0.027853345111823153,positive regulation of cardiac muscle cell proliferation
43,0007494,3,10,7.44024064171123,0.012509782253386809,midgut development
44,0050689,1,3,8.248,0.14672108943833265,negative regulation of defense response to virus by host
45,0031497,1,8,3.0921666666666665,0.30026387519370973,chromatin assembly
46,0060988,1,3,8.248,0.14672108943833265,lipid tube assembly
47,1903545,1,1,24.746666666666666,0.07626515566134118,cellular response to butyrate
48,0035371,3,18,4.13168449197861,0.04625506875537967,microtubule plus-end
49,2000454,1,1,24.746666666666666,0.07626515566134118,"positive regulation of CD8-positive, alpha-beta cytotoxic T cell extravasation"
50,0035313,1,10,2.4734666666666665,0.3536537482674413,"wound healing, spreading of epidermal cells"
51,0007032,1,36,0.6861111111111111,1.0,endosome organization
52,0001530,2,33,1.4992110693045273,0.3972443310460344,lipopolysaccharide binding
53,0036503,1,16,1.5454166666666667,0.49062668804095777,ERAD pathway
54,0043021,1,32,0.7720416666666666,1.0,ribonucleoprotein complex binding
55,0004869,2,33,1.4992110693045273,0.3972443310460344,cysteine-type endopeptidase inhibitor activity
56,0050731,8,92,2.161507402422611,0.059764499679776,positive regulation of peptidyl-tyrosine phosphorylation
57,0017048,7,33,5.282502443792766,0.0007947767734945382,Rho GTPase binding
58,0043425,1,26,0.9505128205128205,1.0,bHLH transcription factor binding
59,0098983,1,3,8.248,0.14672108943833265,"symmetric, GABA-ergic, inhibitory synapse"
60,0042531,5,66,1.8781988788691202,0.2016570212425141,positive regulation of tyrosine phosphorylation of STAT protein
61,0048549,1,4,6.185666666666667,0.1799100505871417,positive regulation of pinocytosis
62,0045216,6,20,7.466174496644295,0.00040039506522022663,cell-cell junction organization
63,0005584,1,2,12.372666666666667,0.11219083499766533,collagen type I trimer
64,0060750,2,4,12.38785046728972,0.0204115391592911,epithelial cell proliferation involved in mammary gland duct elongation
